# DraftBoard Session Export
# Exported: 2026-09-21T12:54:30.063Z
# OurPicksLeft: 
overall,player,position,team,playerId
146,"Parker Brailsford","IOL","CLE","p_kwl2qu5d"
147,"Joshua Josephs","EDGE","WSH","p_e8eicqr9"
148,"Beau Stephens","IOL","SEA","p_r3ov3qbd"
149,"Justin Jefferson","LB","CLE","p_2ckufv7j"
150,"Dalton Johnson","S","LV",""
151,"Zakee Wheatley","S","CAR","p_z6qt4y0i"
152,"Justin Joly","TE","DEN","p_1fzqauot"
153,"Jager Burton","IOL","GB","p_10mjiul4"
154,"Jaden Dugger","URA","SF",""
155,"DeMonte Capehart","DL","TB","p_e1ola0wz"
156,"George Gumbs Jr","URA","IND","p_03uzz8sj"
157,"Keith Abney II","CB","DET","p_wo13mcyp"
158,"Michael Taaffe","S","MIA","p_puasnbq6"
159,"Max Bredeson","FB","MIN","p_ngtiair1"
160,"Billy Schrauth","IOL","TB","p_2cllsp7p"
161,"Emmett Johnson","RB","KC","p_t7twbnil"
162,"Chandler Rivers","CB","BAL","p_3ssw1qya"
163,"Charles Demmings","CB","MIN","p_ktqv14f3"
164,"Tanner Koziol","TE","JAX","p_bnmdnlo6"
165,"Nick Singleton","RB","TEN","p_vbh6o3yt"
166,"Keyshaun Elliott","LB","CHI","p_2m0ko62e"
167,"Jalon Kilgore","S","BUF","p_8ispai4v"
168,"Kendrick Law","WR","DET","p_hwlnkplx"
169,"Riley Nowakowski","TE","PIT","p_ce4rhur7"
170,"Joe Royer","TE","CLE","p_lzzz60wb"
171,"Karon Prunty","URA","NE",""
172,"Lorenzo Styles Jr","S","NO","p_guj4l5cn"
173,"Josh Cuevas","TE","BAL","p_7lmc4coc"
174,"Adam Randall","RB","BAL","p_3ywpi5iq"
175,"Hezekiah Masses","CB","LV","p_z246b1he"
176,"Cyrus Allen","WR","KC","p_22dz9duu"
177,"Kevin Coleman Jr","WR","MIA","p_hz6lhzd6"
178,"Cole Payton","QB","PHI","p_i90b9dws"
179,"Enrique Cruz Jr","URA","SF",""
180,"Seydou Traore","URA","MIA",""
181,"Zane Durant","DL","BUF","p_g2q6oo0s"
182,"Taylen Green","QB","CLE","p_heatqs9y"
183,"Karson Sharar","LB","ARI",""
184,"Jackie Marshall","URA","TEN",""
185,"Bauer Sharp","URA","TB",""
186,"Bobby Jamison-Travis","DL","NYG","p_zp77zy6r"
187,"Kaytron Allen","RB","WSH","p_r4e0j7ao"
188,"Anez Cooper","IOL.G","NYJ","p_qzcjfuug"
189,"Brian Parker II","IOL","CIN","p_vavzoe5t"
190,"Barion Brown","WR","NO","p_25patcmc"
191,"Josh Cameron","WR","JAX","p_77ssy9uv"
192,"JC Davis","OT","NYG","p_wzh2cwpn"
193,"Jack Kelly","LB","NYG","p_dg345bxg"
194,"Pat Coogan","IOL","TEN","p_5iqbiu6p"
195,"Malik Benson","WR","LV","p_qzevo361"
196,"Dametrious Crownover","OT","NE","p_omgbn3ii"
197,"CJ Daniels","WR","LAR","p_t4d87219"
